NRGSTREAM Multiple Streams Extract as of: 17-Jul-2018 08:36:58 Static Extraction Range from  01-Jun-2007 00:00:00 to 01-Jul-2018 00:00:00,,,,,,,
PJM - DA Operating Reserve Rate,,,,,,,
PJM - East Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - East Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Reliability RT Rate,,,,,,,
,,,,,,,
Number of records returned has been adjusted based on user settings or available data.,,,,,,,
,,,,,,,
Effective Date,PJM - DA Operating Reserve Rate Price USD/MWh,PJM - East Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - East Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Reliability RT Rate Price USD/MWh
9/9/2013 0:00,0.036942,3.287905,0.164355,3.204067,0.051933,0.044977,0.008597
9/10/2013 0:00,0.044583,1.287,0.16825,6.487966,0.279157,0.070342,0.001872
9/11/2013 0:00,0.280542,0.007883,0.013396,15.949214,0.474946,0.048049,0.000783
9/12/2013 0:00,0.058788,0.059847,0.001569,1.798301,0.052298,0,0
9/13/2013 0:00,0.06052,0.46083,0.015922,1.14432,0.056972,0,0
9/14/2013 0:00,0.125749,1.544372,0.045648,0.105719,0.107972,0,0
9/15/2013 0:00,0.094804,0.261533,0.000103,1.044636,0.060156,0,0
9/16/2013 0:00,0.067168,2.069388,0,1.030467,0.039994,0.030338,0
9/17/2013 0:00,0.084965,0.726753,0,1.594297,0.074131,0.133766,0
9/18/2013 0:00,0.062389,0.2926,0,1.346118,0.009912,0.121183,0
9/19/2013 0:00,0.059303,0.517095,0,0.340792,0.062355,0.024656,0
9/20/2013 0:00,0.05596,0.084604,0,1.967608,0.009261,0.257263,0
9/21/2013 0:00,0.072907,0,0,1.404431,0.011033,0,0
9/22/2013 0:00,0.140759,0,0,0.234464,0.082984,0,0
9/23/2013 0:00,0.115891,1.497759,0.002383,0.720565,0.081945,0.638064,0.10279
9/24/2013 0:00,0.09601,0.155457,0.002822,1.192209,0.010102,0.013863,0
9/25/2013 0:00,0.08633,0.327425,0.068556,0.99629,0.048954,0,0
9/26/2013 0:00,0.10384,0.422919,0,1.127436,0.012619,0,0
9/27/2013 0:00,0.051793,0.023823,0,0.763872,0.066938,0,0
9/28/2013 0:00,0.099064,0.114965,0,0.377526,0.097103,0,0.084277
9/29/2013 0:00,0.121882,0.158419,0,0.437685,0.046822,0,0
9/30/2013 0:00,0.040283,0,0,0.90595,0.007845,0,0
10/1/2013 0:00,0.024821,1.51118,0,0.607999,0.024595,0,0
10/2/2013 0:00,0.031391,0.192564,0.039158,0.416385,0.01079,0.019489,0
10/3/2013 0:00,0.045452,0.383644,0.007927,1.622458,0.022192,0.037692,0
10/4/2013 0:00,0.005801,0.164092,0.009859,1.97635,0.001484,0,0
10/5/2013 0:00,0.006154,0.816236,0.047164,1.303017,0.014985,0,0
10/6/2013 0:00,0.044208,0.073638,0,0.865891,0.007836,0.012721,0
10/7/2013 0:00,0.01991,0.050678,0,0.294022,0.003997,0.022946,0.003352
10/8/2013 0:00,0.036018,0,0.012004,0.78955,0.045622,0.052882,0
10/9/2013 0:00,0.073808,0.099105,0,0.285754,0.099815,0,0
10/10/2013 0:00,0.03205,0.951934,0,0.604539,0.004953,0,0
10/11/2013 0:00,0.058459,1.007874,0,0.712813,0.001341,0,0
10/12/2013 0:00,0.050935,0.029499,0,0.844173,0.026541,1.668394,0
10/13/2013 0:00,0.083249,0.058375,0,0.530947,0.068476,0.655662,0
10/14/2013 0:00,0.057658,0.09974,0,0.535851,0.046364,0.125731,0
10/15/2013 0:00,0.020567,0.088727,0,1.577836,0.004091,0.027355,0
10/16/2013 0:00,0.016496,0,0,0.635234,0.004231,0,0
10/17/2013 0:00,0.026893,0,0,1.133425,0.005317,0,0
10/18/2013 0:00,0.03731,0,0,0.984334,0.031576,0,0
10/19/2013 0:00,0.054149,0.045262,0,0.543133,0.022649,0,0
10/20/2013 0:00,0.04889,0.067942,0,0.774083,0.019294,0,0
10/21/2013 0:00,0.010494,0.066858,0,0.359311,0.03808,0,0
10/22/2013 0:00,0.037387,0,0,0.565111,0.009378,0,0
10/23/2013 0:00,0.014186,0.105845,0.014247,0.555758,0.021363,0,0
10/24/2013 0:00,0.027301,0.208005,0,0.468016,0.027131,0,0
10/25/2013 0:00,0.028436,0.19814,0,0.574581,0.008308,0,0
10/26/2013 0:00,0.0594,0.439446,0.021552,0.906037,0.011195,0,0
10/27/2013 0:00,0.082807,0.15684,0.009218,0.263415,0.062744,0,0
10/28/2013 0:00,0.053923,0.199537,0,1.907792,0.01834,0,0
10/29/2013 0:00,0.026679,0,0,0.65157,0.002703,0,0
10/30/2013 0:00,0.058482,0.077337,0,0.865631,0.016169,0,0
10/31/2013 0:00,0.046938,0.06044,0,0.37268,0.070832,0,0
11/1/2013 0:00,0.00975,0.152928,0,0.807183,0.019267,0,0
11/2/2013 0:00,0.032795,0,0,0.602242,0.02248,0,0
11/3/2013 0:00,0.013709,0,0,0.160665,0.06736,0,0
11/4/2013 0:00,0.005109,0.076467,0,0.930171,0.002977,0.003402,0
11/5/2013 0:00,0.014621,0.130205,0,0.585938,0.031747,0,0
